iteration,train_loss,consensus_error,comm_volume,test_acc,test_acc_min,test_acc_max,test_comm_volume
0,0.0,6.891116619110107,33352750,10.34,8.5,19.2,767113250.0
1,0.0,3.132728338241577,66705500,10.34,8.5,19.2,767113250.0
2,0.0,1.7422221899032593,100058250,10.34,8.5,19.2,767113250.0
3,0.0,1.0354645252227783,133411000,10.34,8.5,19.2,767113250.0
4,0.0,0.6283897757530212,166763750,10.34,8.5,19.2,767113250.0
5,0.0,0.38647085428237915,200116500,10.34,8.5,19.2,767113250.0
6,0.0,0.24050477147102356,233469250,10.34,8.5,19.2,767113250.0
7,0.0,0.1524747908115387,266822000,10.34,8.5,19.2,767113250.0
8,0.0,0.09961999207735062,300174750,10.34,8.5,19.2,767113250.0
9,0.0,0.06800477206707001,333527500,10.34,8.5,19.2,767113250.0
10,0.0,0.049162715673446655,366880250,10.34,8.5,19.2,767113250.0
11,0.0,0.03769338130950928,400233000,10.34,8.5,19.2,767113250.0
12,0.0,0.03133104369044304,433585750,10.34,8.5,19.2,767113250.0
13,0.0,0.027516677975654602,466938500,10.34,8.5,19.2,767113250.0
14,0.0,0.025461910292506218,500291250,10.34,8.5,19.2,767113250.0
15,0.0,0.024979878216981888,533644000,10.34,8.5,19.2,767113250.0
16,0.0,0.02555430494248867,566996750,10.34,8.5,19.2,767113250.0
17,0.0,0.02729826048016548,600349500,10.34,8.5,19.2,767113250.0
18,0.0,0.029209692031145096,633702250,10.34,8.5,19.2,767113250.0
19,0.0,0.032583087682724,667055000,10.34,8.5,19.2,767113250.0
20,0.0,0.03875484690070152,700407750,10.34,8.5,19.2,767113250.0
21,0.0,0.043760284781455994,733760500,10.34,8.5,19.2,767113250.0
22,0.0,0.05435965210199356,767113250,9.905000000000001,8.5,12.6,1534226500.0
23,0.0,0.06966887414455414,800466000,9.905000000000001,8.5,12.6,1534226500.0
24,0.0,0.08551082760095596,833818750,9.905000000000001,8.5,12.6,1534226500.0
25,0.0,0.0981055200099945,867171500,9.905000000000001,8.5,12.6,1534226500.0
26,0.0,0.11822874844074249,900524250,9.905000000000001,8.5,12.6,1534226500.0
27,0.0,0.12041079998016357,933877000,9.905000000000001,8.5,12.6,1534226500.0
28,0.0,0.1362852156162262,967229750,9.905000000000001,8.5,12.6,1534226500.0
29,0.0,0.13249512016773224,1000582500,9.905000000000001,8.5,12.6,1534226500.0
30,0.0,0.12437247484922409,1033935250,9.905000000000001,8.5,12.6,1534226500.0
31,0.0,0.12943731248378754,1067288000,9.905000000000001,8.5,12.6,1534226500.0
32,0.0,0.1374988853931427,1100640750,9.905000000000001,8.5,12.6,1534226500.0
33,0.0,0.19781555235385895,1133993500,9.905000000000001,8.5,12.6,1534226500.0
34,0.0,0.13450126349925995,1167346250,9.905000000000001,8.5,12.6,1534226500.0
35,0.0,0.1550431102514267,1200699000,9.905000000000001,8.5,12.6,1534226500.0
36,0.0,0.10839291661977768,1234051750,9.905000000000001,8.5,12.6,1534226500.0
37,0.0,0.1549474149942398,1267404500,9.905000000000001,8.5,12.6,1534226500.0
38,0.0,0.09800683706998825,1300757250,9.905000000000001,8.5,12.6,1534226500.0
39,0.0,0.19135621190071106,1334110000,9.905000000000001,8.5,12.6,1534226500.0
40,0.0,0.11788275092840195,1367462750,9.905000000000001,8.5,12.6,1534226500.0
41,0.0,0.1937887817621231,1400815500,9.905000000000001,8.5,12.6,1534226500.0
42,0.0,0.10421136766672134,1434168250,9.905000000000001,8.5,12.6,1534226500.0
43,0.0,0.15112857520580292,1467521000,9.905000000000001,8.5,12.6,1534226500.0
44,0.0,0.0985146164894104,1500873750,9.905000000000001,8.5,12.6,1534226500.0
45,0.0,0.1399500072002411,1534226500,10.329999999999998,8.5,18.8,2301339750.0
46,0.0,0.11655142158269882,1567579250,10.329999999999998,8.5,18.8,2301339750.0
