iteration,train_loss,consensus_error,comm_volume,test_acc,test_acc_min,test_acc_max,test_acc_std
0,0.0,10.640239715576172,6136998,10.559999999999999,8.5,16.8,1.8823920951810227
1,0.0,5.973062992095947,12273996,10.559999999999999,8.5,16.8,1.8823920951810227
2,0.0,4.143218994140625,18410994,10.559999999999999,8.5,16.8,1.8823920951810227
3,0.0,3.076007604598999,24547992,10.559999999999999,8.5,16.8,1.8823920951810227
4,0.0,2.370163679122925,30684990,10.559999999999999,8.5,16.8,1.8823920951810227
5,0.0,1.873392939567566,36821988,10.559999999999999,8.5,16.8,1.8823920951810227
6,0.0,1.5079377889633179,42958986,10.559999999999999,8.5,16.8,1.8823920951810227
7,0.0,1.2324683666229248,49095984,10.559999999999999,8.5,16.8,1.8823920951810227
8,0.0,1.0223702192306519,55232982,10.559999999999999,8.5,16.8,1.8823920951810227
9,0.0,0.8587929606437683,61369980,10.559999999999999,8.5,16.8,1.8823920951810227
10,0.0,0.734224796295166,67506978,10.559999999999999,8.5,16.8,1.8823920951810227
11,0.0,0.6417372822761536,73643976,10.559999999999999,8.5,16.8,1.8823920951810227
12,0.0,0.5712984800338745,79780974,10.559999999999999,8.5,16.8,1.8823920951810227
13,0.0,0.5112816095352173,85917972,10.559999999999999,8.5,16.8,1.8823920951810227
14,0.0,0.455776184797287,92054970,10.559999999999999,8.5,16.8,1.8823920951810227
15,0.0,0.4269064962863922,98191968,10.559999999999999,8.5,16.8,1.8823920951810227
16,0.0,0.3792809545993805,104328966,10.559999999999999,8.5,16.8,1.8823920951810227
17,0.0,0.36667847633361816,110465964,10.559999999999999,8.5,16.8,1.8823920951810227
18,0.0,0.30646488070487976,116602962,10.559999999999999,8.5,16.8,1.8823920951810227
19,0.0,0.30493637919425964,122739960,10.559999999999999,8.5,16.8,1.8823920951810227
20,0.0,0.2554546892642975,128876958,10.559999999999999,8.5,16.8,1.8823920951810227
21,0.0,0.27363821864128113,135013956,10.559999999999999,8.5,16.8,1.8823920951810227
22,0.0,0.22295092046260834,141150954,10.235000000000001,8.5,12.6,1.1533754809254446
23,0.0,0.2534107565879822,147287952,10.235000000000001,8.5,12.6,1.1533754809254446
24,0.0,0.21591000258922577,153424950,10.235000000000001,8.5,12.6,1.1533754809254446
25,0.0,0.23236656188964844,159561948,10.235000000000001,8.5,12.6,1.1533754809254446
26,0.0,0.2222820371389389,165698946,10.235000000000001,8.5,12.6,1.1533754809254446
27,0.0,0.250059574842453,171835944,10.235000000000001,8.5,12.6,1.1533754809254446
28,0.0,0.21084187924861908,177972942,10.235000000000001,8.5,12.6,1.1533754809254446
29,0.0,0.23403452336788177,184109940,10.235000000000001,8.5,12.6,1.1533754809254446
30,0.0,0.21549884974956512,190246938,10.235000000000001,8.5,12.6,1.1533754809254446
31,0.0,0.22950410842895508,196383936,10.235000000000001,8.5,12.6,1.1533754809254446
32,0.0,0.24625442922115326,202520934,10.235000000000001,8.5,12.6,1.1533754809254446
33,0.0,0.315047949552536,208657932,10.235000000000001,8.5,12.6,1.1533754809254446
34,0.0,0.2565145790576935,214794930,10.235000000000001,8.5,12.6,1.1533754809254446
35,0.0,0.18606160581111908,220931928,10.235000000000001,8.5,12.6,1.1533754809254446
36,0.0,0.18685288727283478,227068926,10.235000000000001,8.5,12.6,1.1533754809254446
37,0.0,0.16095077991485596,233205924,10.235000000000001,8.5,12.6,1.1533754809254446
38,0.0,0.16197781264781952,239342922,10.235000000000001,8.5,12.6,1.1533754809254446
39,0.0,0.16515640914440155,245479920,10.235000000000001,8.5,12.6,1.1533754809254446
40,0.0,0.20940902829170227,251616918,10.235000000000001,8.5,12.6,1.1533754809254446
41,0.0,0.20511436462402344,257753916,10.235000000000001,8.5,12.6,1.1533754809254446
42,0.0,0.21486258506774902,263890914,10.235000000000001,8.5,12.6,1.1533754809254446
43,0.0,0.14180253446102142,270027912,10.235000000000001,8.5,12.6,1.1533754809254446
44,0.0,0.15827491879463196,276164910,10.235000000000001,8.5,12.6,1.1533754809254446
45,0.0,0.16214117407798767,282301908,10.425,8.5,19.8,2.523266731837917
46,0.0,0.1730242222547531,288438906,10.425,8.5,19.8,2.523266731837917
47,0.0,0.18226803839206696,294575904,10.425,8.5,19.8,2.523266731837917
48,0.0,0.23813509941101074,300712902,10.425,8.5,19.8,2.523266731837917
49,0.0,0.1866876184940338,306849900,10.425,8.5,19.8,2.523266731837917
50,0.0,0.164219468832016,312986898,10.425,8.5,19.8,2.523266731837917
51,0.0,0.18280212581157684,319123896,10.425,8.5,19.8,2.523266731837917
52,0.0,0.1648665815591812,325260894,10.425,8.5,19.8,2.523266731837917
53,0.0,0.21161191165447235,331397892,10.425,8.5,19.8,2.523266731837917
54,0.0,0.13802063465118408,337534890,10.425,8.5,19.8,2.523266731837917
55,0.0,0.19533275067806244,343671888,10.425,8.5,19.8,2.523266731837917
56,0.0,0.1374889612197876,349808886,10.425,8.5,19.8,2.523266731837917
57,0.0,0.25070443749427795,355945884,10.425,8.5,19.8,2.523266731837917
58,0.0,0.1329926699399948,362082882,10.425,8.5,19.8,2.523266731837917
59,0.0,0.20578551292419434,368219880,10.425,8.5,19.8,2.523266731837917
60,0.0,0.13960149884223938,374356878,10.425,8.5,19.8,2.523266731837917
61,0.0,0.22415785491466522,380493876,10.425,8.5,19.8,2.523266731837917
62,0.0,0.13422374427318573,386630874,10.425,8.5,19.8,2.523266731837917
63,0.0,0.20081447064876556,392767872,10.425,8.5,19.8,2.523266731837917
64,0.0,0.13417480885982513,398904870,10.425,8.5,19.8,2.523266731837917
65,0.0,0.2031257152557373,405041868,10.425,8.5,19.8,2.523266731837917
66,0.0,0.1641029268503189,411178866,10.425,8.5,19.8,2.523266731837917
67,0.0,0.20786555111408234,417315864,10.425,8.5,19.8,2.523266731837917
68,0.0,0.16322840750217438,423452862,12.195,8.5,20.5,3.6793307815416645
69,0.0,0.20139244198799133,429589860,12.195,8.5,20.5,3.6793307815416645
70,0.0,0.14945094287395477,435726858,12.195,8.5,20.5,3.6793307815416645
71,0.0,0.1841338723897934,441863856,12.195,8.5,20.5,3.6793307815416645
72,0.0,0.14556573331356049,448000854,12.195,8.5,20.5,3.6793307815416645
73,0.0,0.182115375995636,454137852,12.195,8.5,20.5,3.6793307815416645
74,0.0,0.20202569663524628,460274850,12.195,8.5,20.5,3.6793307815416645
75,0.0,0.25192126631736755,466411848,12.195,8.5,20.5,3.6793307815416645
76,0.0,0.15095767378807068,472548846,12.195,8.5,20.5,3.6793307815416645
77,0.0,0.14850178360939026,478685844,12.195,8.5,20.5,3.6793307815416645
78,0.0,0.14336450397968292,484822842,12.195,8.5,20.5,3.6793307815416645
79,0.0,0.14316193759441376,490959840,12.195,8.5,20.5,3.6793307815416645
80,0.0,0.17336778342723846,497096838,12.195,8.5,20.5,3.6793307815416645
81,0.0,0.19701820611953735,503233836,12.195,8.5,20.5,3.6793307815416645
82,0.0,0.23002901673316956,509370834,12.195,8.5,20.5,3.6793307815416645
83,0.0,0.19930803775787354,515507832,12.195,8.5,20.5,3.6793307815416645
84,0.0,0.16299472749233246,521644830,12.195,8.5,20.5,3.6793307815416645
85,0.0,0.15683726966381073,527781828,12.195,8.5,20.5,3.6793307815416645
