iteration,train_loss,consensus_error,comm_volume,test_acc,test_acc_min,test_acc_max,test_comm_volume
0,0.0,6.891118049621582,33352750,10.000000000000002,8.5,11.899999999999999,767113250.0
1,0.0,3.086437940597534,66705500,10.000000000000002,8.5,11.899999999999999,767113250.0
2,0.0,1.704630732536316,100058250,10.000000000000002,8.5,11.899999999999999,767113250.0
3,0.0,1.0059055089950562,133411000,10.000000000000002,8.5,11.899999999999999,767113250.0
4,0.0,0.6059221029281616,166763750,10.000000000000002,8.5,11.899999999999999,767113250.0
5,0.0,0.36996859312057495,200116500,10.000000000000002,8.5,11.899999999999999,767113250.0
6,0.0,0.2286742925643921,233469250,10.000000000000002,8.5,11.899999999999999,767113250.0
7,0.0,0.14410768449306488,266822000,10.000000000000002,8.5,11.899999999999999,767113250.0
8,0.0,0.09370508044958115,300174750,10.000000000000002,8.5,11.899999999999999,767113250.0
9,0.0,0.06376203149557114,333527500,10.000000000000002,8.5,11.899999999999999,767113250.0
10,0.0,0.046030063182115555,366880250,10.000000000000002,8.5,11.899999999999999,767113250.0
11,0.0,0.0352889746427536,400233000,10.000000000000002,8.5,11.899999999999999,767113250.0
12,0.0,0.029345527291297913,433585750,10.000000000000002,8.5,11.899999999999999,767113250.0
13,0.0,0.025807851925492287,466938500,10.000000000000002,8.5,11.899999999999999,767113250.0
14,0.0,0.02389981411397457,500291250,10.000000000000002,8.5,11.899999999999999,767113250.0
15,0.0,0.02338038943707943,533644000,10.000000000000002,8.5,11.899999999999999,767113250.0
16,0.0,0.02369329333305359,566996750,10.000000000000002,8.5,11.899999999999999,767113250.0
17,0.0,0.025302890688180923,600349500,10.000000000000002,8.5,11.899999999999999,767113250.0
18,0.0,0.02676604688167572,633702250,10.000000000000002,8.5,11.899999999999999,767113250.0
19,0.0,0.029893821105360985,667055000,10.000000000000002,8.5,11.899999999999999,767113250.0
20,0.0,0.033918917179107666,700407750,10.000000000000002,8.5,11.899999999999999,767113250.0
21,0.0,0.0380743034183979,733760500,10.000000000000002,8.5,11.899999999999999,767113250.0
22,0.0,0.04718431457877159,767113250,9.944999999999999,8.5,12.6,1534226500.0
23,0.0,0.06029732897877693,800466000,9.944999999999999,8.5,12.6,1534226500.0
24,0.0,0.07357318699359894,833818750,9.944999999999999,8.5,12.6,1534226500.0
25,0.0,0.08589262515306473,867171500,9.944999999999999,8.5,12.6,1534226500.0
26,0.0,0.10559972375631332,900524250,9.944999999999999,8.5,12.6,1534226500.0
27,0.0,0.11079233139753342,933877000,9.944999999999999,8.5,12.6,1534226500.0
28,0.0,0.13398893177509308,967229750,9.944999999999999,8.5,12.6,1534226500.0
29,0.0,0.12834511697292328,1000582500,9.944999999999999,8.5,12.6,1534226500.0
30,0.0,0.12404775619506836,1033935250,9.944999999999999,8.5,12.6,1534226500.0
31,0.0,0.11578845232725143,1067288000,9.944999999999999,8.5,12.6,1534226500.0
32,0.0,0.1400345414876938,1100640750,9.944999999999999,8.5,12.6,1534226500.0
33,0.0,0.16193251311779022,1133993500,9.944999999999999,8.5,12.6,1534226500.0
34,0.0,0.16567198932170868,1167346250,9.944999999999999,8.5,12.6,1534226500.0
35,0.0,0.16353286802768707,1200699000,9.944999999999999,8.5,12.6,1534226500.0
36,0.0,0.11947007477283478,1234051750,9.944999999999999,8.5,12.6,1534226500.0
37,0.0,0.12343907356262207,1267404500,9.944999999999999,8.5,12.6,1534226500.0
38,0.0,0.11076387017965317,1300757250,9.944999999999999,8.5,12.6,1534226500.0
39,0.0,0.15675267577171326,1334110000,9.944999999999999,8.5,12.6,1534226500.0
40,0.0,0.15862222015857697,1367462750,9.944999999999999,8.5,12.6,1534226500.0
