iteration,train_loss,consensus_error,comm_volume,test_acc,test_acc_min,test_acc_max,test_comm_volume
0,0.0,6.891118049621582,33352750,10.005,8.5,12.0,767113250.0
1,0.0,3.086437940597534,66705500,10.005,8.5,12.0,767113250.0
2,0.0,1.704630732536316,100058250,10.005,8.5,12.0,767113250.0
3,0.0,1.0059055089950562,133411000,10.005,8.5,12.0,767113250.0
4,0.0,0.6059221029281616,166763750,10.005,8.5,12.0,767113250.0
5,0.0,0.3699687123298645,200116500,10.005,8.5,12.0,767113250.0
6,0.0,0.22867456078529358,233469250,10.005,8.5,12.0,767113250.0
7,0.0,0.14410793781280518,266822000,10.005,8.5,12.0,767113250.0
8,0.0,0.09370501339435577,300174750,10.005,8.5,12.0,767113250.0
9,0.0,0.06376244872808456,333527500,10.005,8.5,12.0,767113250.0
10,0.0,0.046029988676309586,366880250,10.005,8.5,12.0,767113250.0
11,0.0,0.03529028967022896,400233000,10.005,8.5,12.0,767113250.0
12,0.0,0.029345232993364334,433585750,10.005,8.5,12.0,767113250.0
13,0.0,0.025807959958910942,466938500,10.005,8.5,12.0,767113250.0
14,0.0,0.023901430889964104,500291250,10.005,8.5,12.0,767113250.0
15,0.0,0.023380672559142113,533644000,10.005,8.5,12.0,767113250.0
16,0.0,0.023690499365329742,566996750,10.005,8.5,12.0,767113250.0
17,0.0,0.02530032768845558,600349500,10.005,8.5,12.0,767113250.0
18,0.0,0.026773501187562943,633702250,10.005,8.5,12.0,767113250.0
19,0.0,0.029881978407502174,667055000,10.005,8.5,12.0,767113250.0
20,0.0,0.033883631229400635,700407750,10.005,8.5,12.0,767113250.0
21,0.0,0.03812651336193085,733760500,10.005,8.5,12.0,767113250.0
22,0.0,0.047072719782590866,767113250,9.87,8.5,12.6,1534226500.0
23,0.0,0.06009482219815254,800466000,9.87,8.5,12.6,1534226500.0
24,0.0,0.07364185899496078,833818750,9.87,8.5,12.6,1534226500.0
25,0.0,0.08657984435558319,867171500,9.87,8.5,12.6,1534226500.0
26,0.0,0.10500597953796387,900524250,9.87,8.5,12.6,1534226500.0
27,0.0,0.10953035205602646,933877000,9.87,8.5,12.6,1534226500.0
28,0.0,0.13342396914958954,967229750,9.87,8.5,12.6,1534226500.0
29,0.0,0.1290156990289688,1000582500,9.87,8.5,12.6,1534226500.0
30,0.0,0.12459226697683334,1033935250,9.87,8.5,12.6,1534226500.0
31,0.0,0.11688926070928574,1067288000,9.87,8.5,12.6,1534226500.0
32,0.0,0.13547484576702118,1100640750,9.87,8.5,12.6,1534226500.0
33,0.0,0.1613156646490097,1133993500,9.87,8.5,12.6,1534226500.0
34,0.0,0.16198110580444336,1167346250,9.87,8.5,12.6,1534226500.0
35,0.0,0.17676980793476105,1200699000,9.87,8.5,12.6,1534226500.0
36,0.0,0.11834659427404404,1234051750,9.87,8.5,12.6,1534226500.0
37,0.0,0.1241287812590599,1267404500,9.87,8.5,12.6,1534226500.0
38,0.0,0.11067453771829605,1300757250,9.87,8.5,12.6,1534226500.0
39,0.0,0.1677638441324234,1334110000,9.87,8.5,12.6,1534226500.0
40,0.0,0.1527589112520218,1367462750,9.87,8.5,12.6,1534226500.0
41,0.0,0.14800718426704407,1400815500,9.87,8.5,12.6,1534226500.0
42,0.0,0.11686506122350693,1434168250,9.87,8.5,12.6,1534226500.0
43,0.0,0.13283993303775787,1467521000,9.87,8.5,12.6,1534226500.0
44,0.0,0.10074955224990845,1500873750,9.87,8.5,12.6,1534226500.0
45,0.0,0.13931868970394135,1534226500,10.17,8.5,12.6,2301339750.0
46,0.0,0.16980166733264923,1567579250,10.17,8.5,12.6,2301339750.0
47,0.0,0.13466794788837433,1600932000,10.17,8.5,12.6,2301339750.0
48,0.0,0.15753306448459625,1634284750,10.17,8.5,12.6,2301339750.0
49,0.0,0.12023015320301056,1667637500,10.17,8.5,12.6,2301339750.0
50,0.0,0.11448565870523453,1700990250,10.17,8.5,12.6,2301339750.0
51,0.0,0.1359923779964447,1734343000,10.17,8.5,12.6,2301339750.0
52,0.0,0.1419437676668167,1767695750,10.17,8.5,12.6,2301339750.0
53,0.0,0.1597169041633606,1801048500,10.17,8.5,12.6,2301339750.0
54,0.0,0.1288757473230362,1834401250,10.17,8.5,12.6,2301339750.0
55,0.0,0.12460138648748398,1867754000,10.17,8.5,12.6,2301339750.0
56,0.0,0.10805883258581161,1901106750,10.17,8.5,12.6,2301339750.0
57,0.0,0.13026578724384308,1934459500,10.17,8.5,12.6,2301339750.0
58,0.0,0.14684809744358063,1967812250,10.17,8.5,12.6,2301339750.0
59,0.0,0.14858771860599518,2001165000,10.17,8.5,12.6,2301339750.0
60,0.0,0.1326819509267807,2034517750,10.17,8.5,12.6,2301339750.0
61,0.0,0.13276895880699158,2067870500,10.17,8.5,12.6,2301339750.0
