iteration,train_loss,consensus_error,comm_volume,test_acc,test_acc_min,test_acc_max,test_comm_volume
0,0.0,6.8680267333984375,11117750,9.985000000000003,8.5,14.299999999999999,255708250.0
1,0.0,2.730532646179199,22235500,9.985000000000003,8.5,14.299999999999999,255708250.0
2,0.0,1.422302484512329,33353250,9.985000000000003,8.5,14.299999999999999,255708250.0
3,0.0,0.7855356335639954,44471000,9.985000000000003,8.5,14.299999999999999,255708250.0
4,0.0,0.44067665934562683,55588750,9.985000000000003,8.5,14.299999999999999,255708250.0
5,0.0,0.24955503642559052,66706500,9.985000000000003,8.5,14.299999999999999,255708250.0
6,0.0,0.14253385365009308,77824250,9.985000000000003,8.5,14.299999999999999,255708250.0
7,0.0,0.08255811780691147,88942000,9.985000000000003,8.5,14.299999999999999,255708250.0
8,0.0,0.04898452386260033,100059750,9.985000000000003,8.5,14.299999999999999,255708250.0
9,0.0,0.030225900933146477,111177500,9.985000000000003,8.5,14.299999999999999,255708250.0
10,0.0,0.019683925434947014,122295250,9.985000000000003,8.5,14.299999999999999,255708250.0
11,0.0,0.01370568759739399,133413000,9.985000000000003,8.5,14.299999999999999,255708250.0
12,0.0,0.010403801687061787,144530750,9.985000000000003,8.5,14.299999999999999,255708250.0
13,0.0,0.008486165665090084,155648500,9.985000000000003,8.5,14.299999999999999,255708250.0
14,0.0,0.007371495943516493,166766250,9.985000000000003,8.5,14.299999999999999,255708250.0
15,0.0,0.006832328625023365,177884000,9.985000000000003,8.5,14.299999999999999,255708250.0
16,0.0,0.006514796521514654,189001750,9.985000000000003,8.5,14.299999999999999,255708250.0
17,0.0,0.006494787987321615,200119500,9.985000000000003,8.5,14.299999999999999,255708250.0
18,0.0,0.006259937770664692,211237250,9.985000000000003,8.5,14.299999999999999,255708250.0
19,0.0,0.006328641902655363,222355000,9.985000000000003,8.5,14.299999999999999,255708250.0
20,0.0,0.0062787593342363834,233472750,9.985000000000003,8.5,14.299999999999999,255708250.0
21,0.0,0.006147187668830156,244590500,9.985000000000003,8.5,14.299999999999999,255708250.0
22,0.0,0.006255255546420813,255708250,10.23,8.5,15.6,511416500.0
23,0.0,0.006295152939856052,266826000,10.23,8.5,15.6,511416500.0
24,0.0,0.006289535667747259,277943750,10.23,8.5,15.6,511416500.0
25,0.0,0.0062104142270982265,289061500,10.23,8.5,15.6,511416500.0
26,0.0,0.00652660895138979,300179250,10.23,8.5,15.6,511416500.0
27,0.0,0.006526554469019175,311297000,10.23,8.5,15.6,511416500.0
28,0.0,0.006490014493465424,322414750,10.23,8.5,15.6,511416500.0
29,0.0,0.006439761258661747,333532500,10.23,8.5,15.6,511416500.0
30,0.0,0.006566973868757486,344650250,10.23,8.5,15.6,511416500.0
31,0.0,0.006687422748655081,355768000,10.23,8.5,15.6,511416500.0
32,0.0,0.0069790976122021675,366885750,10.23,8.5,15.6,511416500.0
33,0.0,0.006882472429424524,378003500,10.23,8.5,15.6,511416500.0
34,0.0,0.006995334755629301,389121250,10.23,8.5,15.6,511416500.0
35,0.0,0.007167227566242218,400239000,10.23,8.5,15.6,511416500.0
36,0.0,0.007188291288912296,411356750,10.23,8.5,15.6,511416500.0
37,0.0,0.007568029221147299,422474500,10.23,8.5,15.6,511416500.0
38,0.0,0.0076555185951292515,433592250,10.23,8.5,15.6,511416500.0
39,0.0,0.007948359474539757,444710000,10.23,8.5,15.6,511416500.0
40,0.0,0.0080361133441329,455827750,10.23,8.5,15.6,511416500.0
41,0.0,0.00824558176100254,466945500,10.23,8.5,15.6,511416500.0
42,0.0,0.008297990076243877,478063250,10.23,8.5,15.6,511416500.0
43,0.0,0.008609744720160961,489181000,10.23,8.5,15.6,511416500.0
44,0.0,0.009159217588603497,500298750,10.23,8.5,15.6,511416500.0
45,0.0,0.009563825093209743,511416500,10.080000000000002,8.5,12.6,767124750.0
46,0.0,0.010214711539447308,522534250,10.080000000000002,8.5,12.6,767124750.0
47,0.0,0.011037333868443966,533652000,10.080000000000002,8.5,12.6,767124750.0
48,0.0,0.011784383095800877,544769750,10.080000000000002,8.5,12.6,767124750.0
49,0.0,0.013115881942212582,555887500,10.080000000000002,8.5,12.6,767124750.0
50,0.0,0.014767266809940338,567005250,10.080000000000002,8.5,12.6,767124750.0
51,0.0,0.015981199219822884,578123000,10.080000000000002,8.5,12.6,767124750.0
52,0.0,0.017971975728869438,589240750,10.080000000000002,8.5,12.6,767124750.0
53,0.0,0.02014700137078762,600358500,10.080000000000002,8.5,12.6,767124750.0
54,0.0,0.024161262437701225,611476250,10.080000000000002,8.5,12.6,767124750.0
55,0.0,0.028659338131546974,622594000,10.080000000000002,8.5,12.6,767124750.0
56,0.0,0.03479709476232529,633711750,10.080000000000002,8.5,12.6,767124750.0
57,0.0,0.042062219232320786,644829500,10.080000000000002,8.5,12.6,767124750.0
58,0.0,0.051198314875364304,655947250,10.080000000000002,8.5,12.6,767124750.0
59,0.0,0.05902072414755821,667065000,10.080000000000002,8.5,12.6,767124750.0
60,0.0,0.06595449894666672,678182750,10.080000000000002,8.5,12.6,767124750.0
61,0.0,0.07972322404384613,689300500,10.080000000000002,8.5,12.6,767124750.0
62,0.0,0.07671437412500381,700418250,10.080000000000002,8.5,12.6,767124750.0
63,0.0,0.08606941252946854,711536000,10.080000000000002,8.5,12.6,767124750.0
64,0.0,0.0697973296046257,722653750,10.080000000000002,8.5,12.6,767124750.0
65,0.0,0.08634065836668015,733771500,10.080000000000002,8.5,12.6,767124750.0
66,0.0,0.06714793294668198,744889250,10.080000000000002,8.5,12.6,767124750.0
